Date,CLI,BTC_63d_Ret,BTC_Price
2020-10-10,0.10308721558329162,-3.971684560100454,11296.361328125
2020-10-11,0.10321339183229125,-2.5288304834835142,11384.181640625
2020-10-12,0.11928806389835364,-2.754763963779739,11555.36328125
2020-10-13,0.08497759571955593,0.1346447694124271,11425.8994140625
2020-10-14,0.006182899829885152,-1.3507179661184863,11429.5068359375
2020-10-15,-0.0049499126137262095,-2.481179223896469,11495.349609375
2020-10-16,0.02360075612005222,-3.8699399301583988,11322.123046875
2020-10-17,0.023670366006609184,-4.372045370480956,11358.1015625
2020-10-18,0.023765747116183178,-3.5034510452746463,11483.359375
2020-10-19,0.04164488504834016,-4.2709929397567254,11742.037109375
2020-10-20,0.03935363150065374,-0.626568803731889,11916.3349609375
2020-10-21,0.08366221395685655,8.673625325991686,12823.689453125
2020-10-22,0.0801811020124864,8.760291308495486,12965.8916015625
2020-10-23,0.08545459346947387,10.931180542270155,12931.5390625
2020-10-24,0.08554529274161762,11.519326699209339,13108.0625
2020-10-25,0.08555648263288329,11.07646281715526,13031.173828125
2020-10-26,0.07446155332410329,10.477667672941166,13075.248046875
2020-10-27,0.09319084682152473,18.341024010059755,13654.21875
2020-10-28,0.08453919430521667,14.426805591817669,13271.28515625
2020-10-29,0.08264619252530322,17.12066370507851,13437.8828125
2020-10-30,0.08167205698533711,16.009399403849034,13546.5224609375
2020-10-31,0.08169553867062104,18.03466434265748,13780.9951171875
2020-11-01,0.6296265047782693,15.95291190243768,13737.109375
2020-11-02,0.639573769494757,14.847444709298294,13550.4892578125
2020-11-03,0.48566104735705307,15.305757440131668,13950.30078125
2020-11-04,0.5252436725815093,21.37188474598501,14133.70703125
2020-11-05,0.5531263657299725,41.91595660937762,15579.8486328125
2020-11-06,0.5835955708253061,39.25816768801536,15565.880859375
2020-11-07,0.5831764833955091,37.750558273997456,14833.75390625
2020-11-08,0.5829413511262246,40.92864627952954,15479.5673828125
2020-11-09,0.544659691473322,39.10877940764587,15332.3154296875
2020-11-10,0.5320182873888453,41.16070125569554,15290.90234375
2020-11-11,0.5081557462603001,42.72151924390123,15701.33984375
2020-11-12,0.49972257226507066,45.1457598416751,16276.34375
2020-11-13,0.4981420742628382,45.03632763740452,16317.80859375
2020-11-14,0.49786732075092816,43.098584547191734,16068.138671875
2020-11-15,0.49765839711010773,43.53614721417681,15955.587890625
2020-11-16,0.5337457439800419,44.7921719904417,16716.111328125
2020-11-17,0.5682224953534785,49.121168500573106,17645.40625
2020-11-18,0.56595200362807,48.38121524558497,17804.005859375
2020-11-19,0.6424846650734277,48.691086430331495,17817.08984375
2020-11-20,0.6484055574973357,53.14619639152982,18621.314453125
2020-11-21,0.6478465525512035,51.89938967676405,18642.232421875
2020-11-22,0.6473194186834851,51.845122063798456,18370.001953125
2020-11-23,0.6548979280452165,56.262434636632655,18364.12109375
2020-11-24,0.7243280223425742,59.50476695398144,19107.46484375
2020-11-25,0.8696724222756619,60.3334165975644,18732.12109375
2020-11-26,0.8994415342040695,46.61927759167388,17150.623046875
2020-11-27,0.893907875061842,47.00068714444402,17108.40234375
2020-11-28,0.8928360460696347,49.95749342717721,17717.4140625
2020-11-29,0.8915169430433463,52.293005578444095,18177.484375
2020-11-30,0.9295246627103138,60.57014352709449,19625.8359375
2020-12-01,1.2653185958736046,55.0345321361,18802.998046875
2020-12-02,1.1868471921130133,57.68580387293477,19201.091796875
2020-12-03,1.0450932159687114,60.492303017675006,19445.3984375
2020-12-04,1.0522212209908273,56.99261080307926,18699.765625
2020-12-05,1.0510120005552168,59.64613378043687,19154.23046875
2020-12-06,1.0497761750280923,59.50432640801506,19345.12109375
2020-12-07,1.077078038658608,57.554502849409936,19191.630859375
2020-12-08,1.0480091619633183,54.67862330001063,18321.14453125
2020-12-09,1.0798981901158384,55.33414615790636,18553.916015625
2020-12-10,1.073435507972412,51.47854367109438,18264.9921875
2020-12-11,1.093864346006637,48.99008862576021,18058.904296875
2020-12-12,1.0924889301671108,50.9570664807334,18803.65625
2020-12-13,1.0910490494654648,51.968005569461695,19142.3828125
2020-12-14,1.0798106277356416,51.018705293096744,19246.64453125
2020-12-15,1.0536541522695155,53.02702369390371,19417.076171875
2020-12-16,0.9931339820657428,62.30061611153517,21310.59765625
2020-12-17,0.9852611511303658,68.50443468484634,22805.162109375
2020-12-18,0.9585148668668722,71.4715995864584,23137.9609375
2020-12-19,0.9573877719556793,74.26841201615258,23869.83203125
2020-12-20,0.9562025105779128,71.5134803997994,23477.294921875
2020-12-21,0.954707104320001,66.37203856006035,22803.08203125
2020-12-22,0.9301260807670808,69.10621269411327,23783.029296875
2020-12-23,0.9459823053104307,59.463863597225355,23241.345703125
2020-12-24,0.9579668180871758,60.46685570558503,23735.94921875
2020-12-25,0.9368425240711471,64.57075456818076,24664.791015625
2020-12-26,0.9358633547533985,70.15384488822038,26437.037109375
2020-12-27,0.9347480362284084,70.11704852595923,26272.294921875
2020-12-28,0.9418374339417019,72.82520213607397,27084.80859375
2020-12-29,0.9849172441853704,69.51226388843621,27362.4375
2020-12-30,1.0082272972084734,77.61936701921688,28840.953125
2020-12-31,1.0008831046722433,76.9277368962575,29001.720703125
2021-01-01,1.0756953713195632,77.39852462274932,29374.15234375
2021-01-02,1.0742362965425896,84.64146492356693,32127.267578125
2021-01-03,0.5734219528081228,86.9779414832586,32782.0234375
2021-01-04,0.5671457434184698,85.84351775998881,31971.9140625
2021-01-05,0.5583568269873315,89.06367741597184,33992.4296875
2021-01-06,0.5949338578613232,95.75971576948803,36824.36328125
2021-01-07,0.5620919877857853,92.70522711491635,39371.04296875
2021-01-08,0.5894401974438127,96.35420913366603,40797.609375
2021-01-09,0.5883847966670898,99.83177099904448,40254.546875
